species_group,dataset_id,n_input_trees,n_reference_trees_in_file,reference_taxa_count,union_taxa_count,size_min,size_max,overlap_min,overlap_max,min_shared_taxa,anchors_shared_by_all_trees,total_pairs,overlap_violating_pairs,min_shared_violating_pairs,duplicate_leaf_labels_found,non_positive_branch_lengths_found,all_input_trees_subset_of_reference,full_coverage_ok,reference_match_ok
amphibians,1,30,20,50,50,25,36,0.342105,0.696970,13,10,435,0,0,False,False,True,True,True
amphibians,2,30,20,55,55,27,41,0.363636,0.680851,15,10,435,0,0,False,False,True,True,True
amphibians,3,30,20,60,60,30,45,0.333333,0.697674,16,10,435,0,0,False,False,True,True,True
amphibians,4,30,20,65,65,32,48,0.303571,0.700000,17,10,435,0,0,False,False,True,True,True
amphibians,5,30,20,70,70,35,52,0.322581,0.680851,19,10,435,0,0,False,False,True,True,True
amphibians,6,30,20,75,75,37,56,0.307692,0.689655,20,10,435,0,0,False,False,True,True,True
amphibians,7,30,20,80,80,40,60,0.328358,0.696429,22,10,435,0,0,False,False,True,True,True
amphibians,8,30,20,85,85,42,63,0.328571,0.698113,22,10,435,0,0,False,False,True,True,True
amphibians,9,30,20,90,90,46,67,0.328767,0.676471,24,10,435,0,0,False,False,True,True,True
amphibians,10,30,20,95,95,47,70,0.324675,0.695652,25,10,435,0,0,False,False,True,True,True
amphibians,11,30,20,100,100,50,75,0.316456,0.694444,25,10,435,0,0,False,False,True,True,True
amphibians,12,30,20,105,105,52,78,0.302326,0.696203,26,10,435,0,0,False,False,True,True,True
amphibians,13,30,20,110,110,55,82,0.322917,0.693333,31,10,435,0,0,False,False,True,True,True
amphibians,14,30,20,115,115,58,85,0.336634,0.695652,31,10,435,0,0,False,False,True,True,True
amphibians,15,30,20,120,120,61,90,0.319149,0.688312,30,10,435,0,0,False,False,True,True,True
amphibians,16,30,20,125,125,62,92,0.321101,0.626168,33,10,435,0,0,False,False,True,True,True
amphibians,17,30,20,130,130,67,97,0.311927,0.697674,34,10,435,0,0,False,False,True,True,True
amphibians,18,30,20,135,135,68,101,0.344828,0.696970,40,10,435,0,0,False,False,True,True,True
amphibians,19,30,20,140,140,75,105,0.355932,0.645161,42,10,435,0,0,False,False,True,True,True
amphibians,20,30,20,145,145,72,108,0.348214,0.660194,39,10,435,0,0,False,False,True,True,True
mammals,1,30,20,50,50,25,36,0.311111,0.696970,14,10,435,0,0,False,False,True,True,True
mammals,2,30,20,55,55,27,41,0.341463,0.690476,14,10,435,0,0,False,False,True,True,True
mammals,3,30,20,60,60,30,45,0.326531,0.695652,16,10,435,0,0,False,False,True,True,True
mammals,4,30,20,65,65,32,48,0.320000,0.697674,16,10,435,0,0,False,False,True,True,True
mammals,5,30,20,70,70,35,52,0.300000,0.695652,18,10,435,0,0,False,False,True,True,True
mammals,6,30,20,75,75,37,56,0.310345,0.700000,18,10,435,0,0,False,False,True,True,True
mammals,7,30,20,80,80,40,60,0.328125,0.694915,21,10,435,0,0,False,False,True,True,True
mammals,8,30,20,85,85,42,63,0.328767,0.695652,24,10,435,0,0,False,False,True,True,True
mammals,9,30,20,90,90,46,67,0.333333,0.683333,24,10,435,0,0,False,False,True,True,True
mammals,10,30,20,95,95,47,70,0.303797,0.675325,24,10,435,0,0,False,False,True,True,True
mammals,11,30,20,100,100,50,75,0.325000,0.700000,26,10,435,0,0,False,False,True,True,True
mammals,12,30,20,105,105,52,78,0.310345,0.698413,26,10,435,0,0,False,False,True,True,True
mammals,13,30,20,110,110,55,82,0.350515,0.688312,31,10,435,0,0,False,False,True,True,True
mammals,14,30,20,115,115,58,85,0.329897,0.690476,30,10,435,0,0,False,False,True,True,True
mammals,15,30,20,120,120,61,90,0.320388,0.697368,32,10,435,0,0,False,False,True,True,True
mammals,16,30,20,125,125,62,92,0.304762,0.674419,31,10,435,0,0,False,False,True,True,True
mammals,17,30,20,130,130,67,97,0.348624,0.651163,36,10,435,0,0,False,False,True,True,True
mammals,18,30,20,135,135,68,101,0.311927,0.699115,34,10,435,0,0,False,False,True,True,True
mammals,19,30,20,140,140,75,105,0.347826,0.672566,40,10,435,0,0,False,False,True,True,True
mammals,20,30,20,145,145,72,108,0.324324,0.694915,36,10,435,0,0,False,False,True,True,True
sharks,1,30,20,50,50,25,36,0.325581,0.692308,14,10,435,0,0,False,False,True,True,True
sharks,2,30,20,55,55,27,41,0.340909,0.694444,15,10,435,0,0,False,False,True,True,True
sharks,3,30,20,59,59,29,44,0.303571,0.700000,15,10,435,0,0,False,False,True,True,True
sharks,4,30,20,65,65,32,48,0.314815,0.700000,17,10,435,0,0,False,False,True,True,True
sharks,5,30,20,70,70,35,52,0.333333,0.693878,20,10,435,0,0,False,False,True,True,True
sharks,6,30,20,75,75,37,56,0.344262,0.694915,21,10,435,0,0,False,False,True,True,True
sharks,7,30,20,80,80,40,60,0.324324,0.676056,23,10,435,0,0,False,False,True,True,True
sharks,8,30,20,85,85,42,63,0.323944,0.692308,21,10,435,0,0,False,False,True,True,True
sharks,9,30,20,90,90,46,67,0.333333,0.698413,25,10,435,0,0,False,False,True,True,True
sharks,10,30,20,95,95,47,70,0.310811,0.690141,23,10,435,0,0,False,False,True,True,True
sharks,11,30,20,100,100,50,75,0.300000,0.690141,24,10,435,0,0,False,False,True,True,True
sharks,12,30,20,105,105,52,78,0.318182,0.700000,27,10,435,0,0,False,False,True,True,True
sharks,13,30,20,110,110,55,82,0.337079,0.626263,30,10,435,0,0,False,False,True,True,True
sharks,14,30,20,115,115,58,85,0.322222,0.689655,29,10,435,0,0,False,False,True,True,True
sharks,15,30,20,120,120,61,90,0.336634,0.698925,33,10,435,0,0,False,False,True,True,True
sharks,16,30,20,123,123,61,91,0.313725,0.636364,32,10,435,0,0,False,False,True,True,True
sharks,17,30,20,129,129,66,96,0.342593,0.622807,36,10,435,0,0,False,False,True,True,True
sharks,18,30,20,135,135,68,101,0.300000,0.680000,33,10,435,0,0,False,False,True,True,True
sharks,19,30,20,140,140,75,105,0.363636,0.675439,42,10,435,0,0,False,False,True,True,True
sharks,20,30,20,145,145,72,108,0.318966,0.689320,37,10,435,0,0,False,False,True,True,True
squamates,1,30,20,50,50,25,36,0.325000,0.692308,13,10,435,0,0,False,False,True,True,True
squamates,2,30,20,55,55,27,41,0.340909,0.697674,15,10,435,0,0,False,False,True,True,True
squamates,3,30,20,60,60,30,45,0.313725,0.688889,16,10,435,0,0,False,False,True,True,True
squamates,4,30,20,65,65,32,48,0.300000,0.697674,15,10,435,0,0,False,False,True,True,True
squamates,5,30,20,70,70,35,52,0.333333,0.680851,20,10,435,0,0,False,False,True,True,True
squamates,6,30,20,75,75,37,56,0.322581,0.694915,20,10,435,0,0,False,False,True,True,True
squamates,7,30,20,80,80,40,60,0.328358,0.671429,22,10,435,0,0,False,False,True,True,True
squamates,8,30,20,85,85,42,63,0.304348,0.692308,21,10,435,0,0,False,False,True,True,True
squamates,9,30,20,90,90,46,67,0.306667,0.689655,23,10,435,0,0,False,False,True,True,True
squamates,10,30,20,95,95,47,70,0.315789,0.691358,24,10,435,0,0,False,False,True,True,True
squamates,11,30,20,100,100,50,75,0.342105,0.700000,26,10,435,0,0,False,False,True,True,True
squamates,12,30,20,105,105,52,78,0.326087,0.693548,27,10,435,0,0,False,False,True,True,True
squamates,13,30,20,110,110,55,82,0.357895,0.666667,31,10,435,0,0,False,False,True,True,True
squamates,14,30,20,115,115,58,85,0.336735,0.694444,31,10,435,0,0,False,False,True,True,True
