mammals
Lutreolina massoia
Mormoops megalophylla
Neomys teres
Penthetor lucasi
Cerradomys subflavus
Ochotona iliensis
Mellivora capensis
Carterodon sulcidens
Limnogale mergulus
Mandrillus leucophaeus
Acerodon celebensis
Laephotis botswanae
Lontra longicaudis
Osgoodomys banderanus
Chelemys megalonyx
Nycteris javanica
Vandeleuria nolthenii
Orcaella heinsohni
Lemur catta
Petaurista xanthotis
Sphaerias blanfordi
Herpestes sanguineus
Setonix brachyurus
Pecari tajacu
Urotrichus talpoides
Dactylomys peruanus
Rhinopoma muscatellum
Dama mesopotamica
Hapalomys longicaudatus
Megaerops niphanae
Cynopterus horsfieldii
Mungotictis decemlineata
Kerodon acrobata
Puma concolor
Murexia melanurus
Dephomys defua
Zapus princeps
Lagenorhynchus cruciger
Antechinomys laniger
Raphicerus sharpei
