method,dataset_id,output_tree_present,parsed_ok,output_taxa_count,expected_taxa_count,all_expected_taxa_covered,exact_taxon_set_match,duplicate_leaf_labels_found,empty_leaf_labels_found,analysis_ready,success,error_message
Split Fit,1,True,True,55,55,True,True,False,False,True,True,
Split Fit,2,True,True,55,55,True,True,False,False,True,True,
Split Fit,3,True,True,55,55,True,True,False,False,True,True,
Split Fit,4,True,True,55,55,True,True,False,False,True,True,
Split Fit,5,True,True,55,55,True,True,False,False,True,True,
Split Fit,6,True,True,55,55,True,True,False,False,True,True,
Split Fit,7,True,True,55,55,True,True,False,False,True,True,
Split Fit,8,True,True,55,55,True,True,False,False,True,True,
Split Fit,9,True,True,55,55,True,True,False,False,True,True,
Split Fit,10,True,True,55,55,True,True,False,False,True,True,
Split Fit,11,True,True,55,55,True,True,False,False,True,True,
Split Fit,12,True,True,55,55,True,True,False,False,True,True,
Split Fit,13,True,True,55,55,True,True,False,False,True,True,
Split Fit,14,True,True,55,55,True,True,False,False,True,True,
Split Fit,15,True,True,55,55,True,True,False,False,True,True,
Split Fit,16,True,True,55,55,True,True,False,False,True,True,
Split Fit,17,True,True,55,55,True,True,False,False,True,True,
Split Fit,18,True,True,55,55,True,True,False,False,True,True,
Split Fit,19,True,True,55,55,True,True,False,False,True,True,
Split Fit,20,True,True,55,55,True,True,False,False,True,True,
Split Fit,21,True,True,55,55,True,True,False,False,True,True,
Split Fit,22,True,True,55,55,True,True,False,False,True,True,
Split Fit,23,True,True,55,55,True,True,False,False,True,True,
Split Fit,24,True,True,55,55,True,True,False,False,True,True,
Split Fit,25,True,True,55,55,True,True,False,False,True,True,
Split Fit,26,True,True,55,55,True,True,False,False,True,True,
Split Fit,27,True,True,55,55,True,True,False,False,True,True,
Split Fit,28,True,True,55,55,True,True,False,False,True,True,
Split Fit,29,True,True,55,55,True,True,False,False,True,True,
Split Fit,30,True,True,55,55,True,True,False,False,True,True,
Split Fit,31,True,True,55,55,True,True,False,False,True,True,
Split Fit,32,True,True,55,55,True,True,False,False,True,True,
Split Fit,33,True,True,55,55,True,True,False,False,True,True,
Split Fit,34,True,True,55,55,True,True,False,False,True,True,
Split Fit,35,True,True,55,55,True,True,False,False,True,True,
Split Fit,36,True,True,55,55,True,True,False,False,True,True,
Split Fit,37,True,True,55,55,True,True,False,False,True,True,
Split Fit,38,True,True,55,55,True,True,False,False,True,True,
Split Fit,39,True,True,55,55,True,True,False,False,True,True,
Split Fit,40,True,True,55,55,True,True,False,False,True,True,
Split Fit,41,True,True,55,55,True,True,False,False,True,True,
Split Fit,42,True,True,55,55,True,True,False,False,True,True,
Split Fit,43,True,True,55,55,True,True,False,False,True,True,
Split Fit,44,True,True,55,55,True,True,False,False,True,True,
Split Fit,45,True,True,55,55,True,True,False,False,True,True,
Split Fit,46,True,True,55,55,True,True,False,False,True,True,
Split Fit,47,True,True,55,55,True,True,False,False,True,True,
Split Fit,48,True,True,55,55,True,True,False,False,True,True,
Split Fit,49,True,True,55,55,True,True,False,False,True,True,
Split Fit,50,True,True,55,55,True,True,False,False,True,True,
Split Fit,51,True,True,55,55,True,True,False,False,True,True,
Split Fit,52,True,True,55,55,True,True,False,False,True,True,
Split Fit,53,True,True,55,55,True,True,False,False,True,True,
Split Fit,54,True,True,55,55,True,True,False,False,True,True,
Split Fit,55,True,True,55,55,True,True,False,False,True,True,
Split Fit,56,True,True,55,55,True,True,False,False,True,True,
Split Fit,57,True,True,55,55,True,True,False,False,True,True,
Split Fit,58,True,True,55,55,True,True,False,False,True,True,
Split Fit,59,True,True,55,55,True,True,False,False,True,True,
Split Fit,60,True,True,55,55,True,True,False,False,True,True,
Split Fit,61,True,True,55,55,True,True,False,False,True,True,
Split Fit,62,True,True,55,55,True,True,False,False,True,True,
Split Fit,63,True,True,55,55,True,True,False,False,True,True,
Split Fit,64,True,True,55,55,True,True,False,False,True,True,
Split Fit,65,True,True,55,55,True,True,False,False,True,True,
Split Fit,66,True,True,55,55,True,True,False,False,True,True,
Split Fit,67,True,True,55,55,True,True,False,False,True,True,
Split Fit,68,True,True,55,55,True,True,False,False,True,True,
Split Fit,69,True,True,55,55,True,True,False,False,True,True,
Split Fit,70,True,True,55,55,True,True,False,False,True,True,
Split Fit,71,True,True,55,55,True,True,False,False,True,True,
Split Fit,72,True,True,55,55,True,True,False,False,True,True,
Split Fit,73,True,True,55,55,True,True,False,False,True,True,
Split Fit,74,True,True,55,55,True,True,False,False,True,True,
Split Fit,75,True,True,55,55,True,True,False,False,True,True,
Split Fit,76,True,True,55,55,True,True,False,False,True,True,
Split Fit,77,True,True,55,55,True,True,False,False,True,True,
Split Fit,78,True,True,55,55,True,True,False,False,True,True,
Split Fit,79,True,True,55,55,True,True,False,False,True,True,
Split Fit,80,True,True,55,55,True,True,False,False,True,True,
Split Fit,81,True,True,55,55,True,True,False,False,True,True,
Split Fit,82,True,True,55,55,True,True,False,False,True,True,
Split Fit,83,True,True,55,55,True,True,False,False,True,True,
Split Fit,84,True,True,55,55,True,True,False,False,True,True,
Split Fit,85,True,True,55,55,True,True,False,False,True,True,
Split Fit,86,True,True,55,55,True,True,False,False,True,True,
Split Fit,87,True,True,55,55,True,True,False,False,True,True,
Split Fit,88,True,True,55,55,True,True,False,False,True,True,
Split Fit,89,True,True,55,55,True,True,False,False,True,True,
Split Fit,90,True,True,55,55,True,True,False,False,True,True,
Split Fit,91,True,True,55,55,True,True,False,False,True,True,
Split Fit,92,True,True,55,55,True,True,False,False,True,True,
Split Fit,93,True,True,55,55,True,True,False,False,True,True,
Split Fit,94,True,True,55,55,True,True,False,False,True,True,
Split Fit,95,True,True,55,55,True,True,False,False,True,True,
Split Fit,96,True,True,55,55,True,True,False,False,True,True,
Split Fit,97,True,True,55,55,True,True,False,False,True,True,
Split Fit,98,True,True,55,55,True,True,False,False,True,True,
Split Fit,99,True,True,55,55,True,True,False,False,True,True,
Split Fit,100,True,True,55,55,True,True,False,False,True,True,
Most Similar,1,True,True,55,55,True,True,False,False,True,True,
Most Similar,2,True,True,55,55,True,True,False,False,True,True,
Most Similar,3,True,True,55,55,True,True,False,False,True,True,
Most Similar,4,True,True,55,55,True,True,False,False,True,True,
Most Similar,5,True,True,55,55,True,True,False,False,True,True,
Most Similar,6,True,True,55,55,True,True,False,False,True,True,
Most Similar,7,True,True,55,55,True,True,False,False,True,True,
Most Similar,8,True,True,55,55,True,True,False,False,True,True,
Most Similar,9,True,True,55,55,True,True,False,False,True,True,
Most Similar,10,True,True,55,55,True,True,False,False,True,True,
Most Similar,11,True,True,55,55,True,True,False,False,True,True,
Most Similar,12,True,True,55,55,True,True,False,False,True,True,
Most Similar,13,True,True,55,55,True,True,False,False,True,True,
Most Similar,14,True,True,55,55,True,True,False,False,True,True,
Most Similar,15,True,True,55,55,True,True,False,False,True,True,
Most Similar,16,True,True,55,55,True,True,False,False,True,True,
Most Similar,17,True,True,55,55,True,True,False,False,True,True,
Most Similar,18,True,True,55,55,True,True,False,False,True,True,
Most Similar,19,True,True,55,55,True,True,False,False,True,True,
Most Similar,20,True,True,55,55,True,True,False,False,True,True,
Most Similar,21,True,True,55,55,True,True,False,False,True,True,
Most Similar,22,True,True,55,55,True,True,False,False,True,True,
Most Similar,23,True,True,55,55,True,True,False,False,True,True,
Most Similar,24,True,True,55,55,True,True,False,False,True,True,
